车辆品牌,品牌,品牌属地,款式,车型,排量,手动/自动,版型,上牌时间,行驶里程（万公里）,现价（万元）,购车原价（万元）,保值率,里程分组,排量分组
Jeep牧马人,Jeep,外国,2013款,,3.6L,自动,四门 Sa,2014/7/1,2,41.8,51,0.82,小于10万,中高级轿车
Jeep大切诺基,Jeep,外国,2013款,,3.6L,自动,舒适型(进口),2013/12/1,3.7,45,61.9,0.73,小于10万,中高级轿车
雪佛兰科迈罗,Chevrolet,外国,2012款,,3.6L,自动,传奇性能版(进口),2013/10/1,3.9,29.88,49.5,0.6,小于10万,中高级轿车
Jeep牧马人,Jeep,外国,2012款,,3.6L,自动,四门 Sa,2012/4/1,7.8,34,53.2,0.64,小于10万,中高级轿车
Jeep牧马人,Jeep,外国,2012款,,3.6L,自动,四门,2012/4/1,7.8,34,53.2,0.64,小于10万,中高级轿车
Jeep大切诺基,Jeep,外国,2012款,,3.6L,自动,旗舰尊崇版(进口),2012/4/1,8.5,39.8,78.1,0.51,小于10万,中高级轿车
Jeep大切诺基,Jeep,外国,2012款,,3.6L,自动,旗舰尊崇版(进口),2012/4/1,8.5,39.8,78.1,0.51,小于10万,中高级轿车
保时捷帕纳美拉,Porsche,外国,2010款,帕纳美拉,3.6L,双离合,,2012/5/1,9.3,80,135.9,0.59,小于10万,中高级轿车
福特探险者,Ford,外国,2013款,探险者,3.5L,自动,尊享型(进口),2014/9/1,1.6,41,58.6,0.7,小于10万,中高级轿车
福特探险者,Ford,外国,2013款,探险者,3.5L,自动,尊享型(进口),2014/9/1,1.6,41,58.6,0.7,小于10万,中高级轿车
英菲尼迪JX35,Infinity,外国,2013款,,3.5L,无级,全能型(进口),2013/9/1,3.5,50,77.9,0.64,小于10万,中高级轿车
福特探险者,Ford,外国,2013款,探险者,3.5L,自动,尊享型(进口),2013/7/1,4.4,38.8,58.6,0.66,小于10万,中高级轿车
福特探险者,Ford,外国,2013款,探险者,3.5L,自动,尊享型(进口),2013/7/1,4.4,38.8,58.6,0.66,小于10万,中高级轿车
奔驰M级,Benz,外国,2012款,ML350,3.5L,自动,四驱动感型(进口),2013/9/1,4.7,58,97.5,0.59,小于10万,中高级轿车
丰田塞纳,Toyota,外国,2011款,塞纳,3.5L,自动,四驱限量版(进口),2014/3/1,4.8,49,73.3,0.67,小于10万,中高级轿车
福特锐界,Ford,外国,2011款,锐界,3.5L,自动,尊锐型(进口),2011/7/1,5.9,22.7,46.7,0.49,小于10万,中高级轿车
福特锐界,Ford,外国,2011款,锐界,3.5L,自动,尊锐型(进口),2011/7/1,5.9,22.7,46.7,0.49,小于10万,中高级轿车
本田雅阁,Honda,外国,2008款,第八代雅阁,3.5L,自动,旗舰版,2008/9/1,6.4,12,36.9,0.33,小于10万,中高级轿车
奔驰GLK级,Benz,外国,2011款,GLK350,3.5L,自动,四驱版(进口),2012/1/1,6.9,33.5,79,0.42,小于10万,中高级轿车
奔驰R级,Benz,外国,2007款,R350L,3.5L,自动,四驱版(进口),2009/7/1,7.6,35,91,0.38,小于10万,中高级轿车
奔驰S级,Benz,外国,2012款,S350L,3.5L,自动,四驱Grand Edition(进口),2011/6/1,8.9,51,157.2,0.32,小于10万,中高级轿车
奔驰R级,Benz,外国,2010款,R350L,3.5L,自动,四驱版(进口),2012/7/1,9.1,39,86.6,0.45,小于10万,中高级轿车
奔驰R级,Benz,外国,2010款,R350L,3.5L,自动,四驱版(进口),2012/7/1,9.1,39,86.6,0.45,小于10万,中高级轿车
奔驰S级,Benz,外国,2005款,S350L,3.5L,自动,(进口),2008/4/1,10.3,38.5,151.7,0.25,大于或等于10万,中高级轿车
丰田塞纳,Toyota,外国,2011款,塞纳,3.5L,自动,四驱型(进口),2012/4/1,13.4,34,81.4,0.42,大于或等于10万,中高级轿车
丰田汉兰达,Toyota,外国,2007款,汉兰达,3.5L,自动,Sport Luxury运动豪华型(进口),2008/10/1,14.7,14,53.9,0.26,大于或等于10万,中高级轿车
丰田汉兰达,Toyota,外国,2007款,汉兰达,3.5L,自动,Sport Luxury运动豪华型(进口),2008/10/1,14.7,14,53.9,0.26,大于或等于10万,中高级轿车
保时捷卡曼,Porsche,外国,2013款,卡曼,3.4L,双离合,,2013/6/1,2.9,62,109.5,0.57,小于10万,中高级轿车
路虎神行者2代,Land Rover,外国,2010款,,3.2L,自动,i6HSE汽油版(进口),2010/3/1,7.9,25.8,70.3,0.37,小于10万,中高级轿车
奥迪Q5,Audi,外国,2010款,Q5,3.2L,双离合,运动版(进口),2011/8/1,13.6,35,71.4,0.49,大于或等于10万,中高级轿车
大众途锐,Volkswagen,外国,2015款,,3.0TSI,自动,舒适型（进口）,2014/12/1,2.7,57,85.8,0.66,小于10万,中高级轿车
大众途锐,Volkswagen,外国,2011款,途锐,3.0TSI,自动,V6标配型(进口),2012/1/1,6,45,79.8,0.56,小于10万,中高级轿车
大众途锐,Volkswagen,外国,2011款,,3.0TSI,自动,V6舒适型（进口）,2012/8/1,7,42.8,89.2,0.48,小于10万,中高级轿车
大众途锐,Volkswagen,外国,2011款,,3.0TSI,自动,V6舒适型（进口）,2012/8/1,7,42.8,89.2,0.48,小于10万,中高级轿车
大众途锐,Volkswagen,外国,2011款,,3.0TSI,自动,V6标配型（进口）,2012/6/1,9.8,40.8,79.8,0.51,小于10万,中高级轿车
奥迪A8L,Audi,外国,2014款,,3.0TFSI,自动,45TFSI quattro舒适型(进口),2015/5/1,0.2,65,100.6,0.65,小于10万,中高级轿车
奥迪A8L,Audi,外国,2014款,,3.0TFSI,自动,45TFSI quattro舒适型(进口),2015/5/1,0.2,65,100.6,0.65,小于10万,中高级轿车
奥迪Q7,Audi,外国,2015款,Q7,3.0TFSI,自动,40TFSI尊藏型(进口),2015/6/1,0.6,85,134.6,0.63,小于10万,中高级轿车
奥迪A6L,Audi,外国,2014款,A6L,3.0TFSI,双离合,50TFSI quattro豪华型,2014/12/1,2.4,43,80.6,0.53,小于10万,中高级轿车
奥迪A8L,Audi,外国,2013款,,3.0TFSI,自动,45TFSI quattro个性运动型,2013/7/1,3.5,63.8,120.3,0.53,小于10万,中高级轿车
奥迪Q7,Audi,外国,2014款,Q7,3.0TFSI,自动,40TFSI 运动型(进口),2014/12/1,4.9,63.5,120.7,0.53,小于10万,中高级轿车
奥迪Q7,Audi,外国,2014款,Q7,3.0TFSI,自动,40TFSI 运动型(进口),2014/12/1,4.9,63.5,120.7,0.53,小于10万,中高级轿车
奥迪Q7,Audi,外国,2014款,Q7,3.0TFSI,自动,40TFSI 运动型(进口),2014/12/1,4.9,63.5,120.7,0.53,小于10万,中高级轿车
奥迪Q7,Audi,外国,2014款,Q7,3.0TFSI,自动,40TFSI 运动型(进口),2014/12/1,4.9,63.5,120.7,0.53,小于10万,中高级轿车
